代號,公司名稱,原產業別代號,原產業類別,新產業別代碼,新產業類別,備註
1702,南僑化工,7,化學生技醫療,2,食品工業,改類
1715,亞洲化學,7,化學生技醫療,3,塑膠工業,改類
1453,大將電子,13,電子工業,4,紡織纖維,改類
1532,勤美,5,電機機械,10,鋼鐵工業,改類
1808,國賓環保,8,玻璃陶瓷,14,建材營造,改類
1107,建台水泥,14,建材營造,20,其他,改類
2514,龍邦開發,14,建材營造,20,其他,改類
1704,李長榮化工,7,化學生技醫療,21,化學工業,配合新制重分類
1708,東南碱業,7,化學生技醫療,21,化學工業,配合新制重分類
1709,和益化工,7,化學生技醫療,21,化學工業,配合新制重分類
1710,東聯化學,7,化學生技醫療,21,化學工業,配合新制重分類
1711,永光化學,7,化學生技醫療,21,化學工業,配合新制重分類
1712,興農,7,化學生技醫療,21,化學工業,配合新制重分類
1713,國泰化工,7,化學生技醫療,21,化學工業,配合新制重分類
1714,和桐化學,7,化學生技醫療,21,化學工業,配合新制重分類
1717,長興化學,7,化學生技醫療,21,化學工業,配合新制重分類
1718,中國人纖,7,化學生技醫療,21,化學工業,配合新制重分類
1721,三晃,7,化學生技醫療,21,化學工業,配合新制重分類
1722,台肥,7,化學生技醫療,21,化學工業,配合新制重分類
1723,中鋼碳素,7,化學生技醫療,21,化學工業,配合新制重分類
1724,台硝,7,化學生技醫療,21,化學工業,配合新制重分類
1725,元禎企業,7,化學生技醫療,21,化學工業,配合新制重分類
1726,永記造漆,7,化學生技醫療,21,化學工業,配合新制重分類
1727,中華化學,7,化學生技醫療,21,化學工業,配合新制重分類
1730,花仙子,7,化學生技醫療,21,化學工業,配合新制重分類
1732,毛寶,7,化學生技醫療,21,化學工業,配合新制重分類
1735,日勝化工,7,化學生技醫療,21,化學工業,配合新制重分類
1737,臺鹽實業,7,化學生技醫療,21,化學工業,配合新制重分類
1701,中國化學,7,化學生技醫療,22,生技醫療業,配合新制重分類
1707,葡萄王生技,7,化學生技醫療,22,生技醫療業,配合新制重分類
1716,永信藥品,7,化學生技醫療,22,生技醫療業,配合新制重分類
1720,生達製藥,7,化學生技醫療,22,生技醫療業,配合新制重分類
1729,必翔實業,7,化學生技醫療,22,生技醫療業,配合新制重分類
1731,美吾華,7,化學生技醫療,22,生技醫療業,配合新制重分類
1733,五鼎生物,7,化學生技醫療,22,生技醫療業,配合新制重分類
1734,杏輝藥品,7,化學生技醫療,22,生技醫療業,配合新制重分類
1736,喬山健康,7,化學生技醫療,22,生技醫療業,配合新制重分類
4119,旭富製藥,7,化學生技醫療,22,生技醫療業,配合新制重分類
4106,雃博,7,化學生技醫療,22,生技醫療業,配合新制重分類
6505,台塑石化,3,塑膠工業,23,油電燃氣業,配合新制重分類
2616,山隆通運,15,航運業,23,油電燃氣業,配合新制重分類
8926,台灣汽電,20,其他,23,油電燃氣業,配合新制重分類
9908,大台北瓦斯,20,其他,23,油電燃氣業,配合新制重分類
9918,欣欣天然氣,20,其他,23,油電燃氣業,配合新制重分類
9926,新海瓦斯,20,其他,23,油電燃氣業,配合新制重分類
9931,欣高石油氣,20,其他,23,油電燃氣業,配合新制重分類
9937,全國加油站,20,其他,23,油電燃氣業,配合新制重分類
1437,勤益,13,電子工業,24,半導體業,配合新制重分類
2302,麗正科技,13,電子工業,24,半導體業,配合新制重分類
2303,聯華電子,13,電子工業,24,半導體業,配合新制重分類
2311,日月光,13,電子工業,24,半導體業,配合新制重分類
2325,矽品精密,13,電子工業,24,半導體業,配合新制重分類
2329,華泰電子,13,電子工業,24,半導體業,配合新制重分類
2330,台灣積電,13,電子工業,24,半導體業,配合新制重分類
2337,旺宏電子,13,電子工業,24,半導體業,配合新制重分類
2338,台灣光罩,13,電子工業,24,半導體業,配合新制重分類
2342,台灣茂矽,13,電子工業,24,半導體業,配合新制重分類
2344,華邦電子,13,電子工業,24,半導體業,配合新制重分類
2351,順德工業,13,電子工業,24,半導體業,配合新制重分類
2363,矽統科技,13,電子工業,24,半導體業,配合新制重分類
2369,菱生精密,13,電子工業,24,半導體業,配合新制重分類
2379,瑞昱半導體,13,電子工業,24,半導體業,配合新制重分類
2388,威盛電子,13,電子工業,24,半導體業,配合新制重分類
2401,凌陽科技,13,電子工業,24,半導體業,配合新制重分類
2408,南亞科技,13,電子工業,24,半導體業,配合新制重分類
2425,華東承啟,13,電子工業,24,半導體業,配合新制重分類
2434,統懋半導體,13,電子工業,24,半導體業,配合新制重分類
2436,偉詮電子,13,電子工業,24,半導體業,配合新制重分類
2441,超豐電子,13,電子工業,24,半導體業,配合新制重分類
2446,全懋精密,13,電子工業,24,半導體業,配合新制重分類
2449,京元電子,13,電子工業,24,半導體業,配合新制重分類
2451,創見資訊,13,電子工業,24,半導體業,配合新制重分類
2454,聯發科技,13,電子工業,24,半導體業,配合新制重分類
2458,義隆電子,13,電子工業,24,半導體業,配合新制重分類
2473,思源科技,13,電子工業,24,半導體業,配合新制重分類
2481,強茂,13,電子工業,24,半導體業,配合新制重分類
3006,晶豪科技,13,電子工業,24,半導體業,配合新制重分類
3014,聯陽半導體,13,電子工業,24,半導體業,配合新制重分類
3016,嘉晶電子,13,電子工業,24,半導體業,配合新制重分類
3034,聯詠科技,13,電子工業,24,半導體業,配合新制重分類
3035,智原科技,13,電子工業,24,半導體業,配合新制重分類
3041,揚智科技,13,電子工業,24,半導體業,配合新制重分類
3056,駿億電子,13,電子工業,24,半導體業,配合新制重分類
3063,飛信半導體,13,電子工業,24,半導體業,配合新制重分類
3189,景碩科技,13,電子工業,24,半導體業,配合新制重分類
3271,其樂達,13,電子工業,24,半導體業,配合新制重分類
3443,創意電子,13,電子工業,24,半導體業,配合新制重分類
3474,華亞科技,13,電子工業,24,半導體業,配合新制重分類
5471,松翰科技,13,電子工業,24,半導體業,配合新制重分類
6145,勁永國際,13,電子工業,24,半導體業,配合新制重分類
6202,盛群半導體,13,電子工業,24,半導體業,配合新制重分類
6239,力成科技,13,電子工業,24,半導體業,配合新制重分類
6257,矽格,13,電子工業,24,半導體業,配合新制重分類
6280,崇貿科技,13,電子工業,24,半導體業,配合新制重分類
6286,立錡科技,13,電子工業,24,半導體業,配合新制重分類
8016,矽創電子,13,電子工業,24,半導體業,配合新制重分類
1604,聲寶,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2301,光寶科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2305,全友電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2315,神達電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2324,仁寶電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2331,精英電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2336,致伸科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2341,英群企業,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2352,明基電通,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2353,宏碁,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2356,英業達,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2357,華碩電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2358,美格科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2361,鴻友科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2362,藍天電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2364,倫飛電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2365,昆盈,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2376,技嘉科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2377,微星科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2380,虹光精密,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2381,華宇電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2382,廣達電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2385,群光電子,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2387,精元電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2395,研華,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2397,友通資訊,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2399,映泰,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2405,浩鑫,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2417,圓剛科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2424,隴華電子,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2438,英誌企業,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2442,美齊科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2463,研揚科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2465,麗臺科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2474,可成科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3002,歐格電子,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3005,神基科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3013,晟銘電子,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3017,奇鋐科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3022,威達電,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3046,建碁,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3054,萬國電腦,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3057,喬鼎資訊,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3060,銘異科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3231,緯創資通,13,電子工業,25,電腦及週邊設備業,配合新制重分類
3701,大眾投控,13,電子工業,25,電腦及週邊設備業,配合新制重分類
6117,迎廣科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
6128,上福全球,13,電子工業,25,電腦及週邊設備業,配合新制重分類
6166,凌華科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
6172,互億科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
6206,飛捷科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
6235,華孚科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
6277,宏正自動,13,電子工業,25,電腦及週邊設備業,配合新制重分類
8008,建興電子,13,電子工業,25,電腦及週邊設備業,配合新制重分類
9912,偉聯科技,13,電子工業,25,電腦及週邊設備業,配合新制重分類
2323,中環,13,電子工業,26,光電業,配合新制重分類
2333,碧悠電子,13,電子工業,26,光電業,配合新制重分類
2340,光磊科技,13,電子工業,26,光電業,配合新制重分類
2349,錸德科技,13,電子工業,26,光電業,配合新制重分類
2374,佳能企業,13,電子工業,26,光電業,配合新制重分類
2384,勝華科技,13,電子工業,26,光電業,配合新制重分類
2393,億光電子,13,電子工業,26,光電業,配合新制重分類
2396,精碟科技,13,電子工業,26,光電業,配合新制重分類
2406,國碩科技,13,電子工業,26,光電業,配合新制重分類
